date,agent_id,agent_name,team,scheduled_hours,worked_hours,adherence_percent,occupancy_percent,absent_flag,calls_offered,calls_handled,calls_abandoned,aht_seconds,acw_seconds,hold_seconds,asa_seconds,service_level_percent,chats_offered,chats_handled,chat_duration_seconds,chat_sla_percent,chat_transfers,tickets_received,tickets_resolved,backlog_start,backlog_end,ticket_sla_percent,fcr_percent
2024-01-01,Agent_001,Agent_001,Support A,8.0,7.42,1.0095,0.8525,0,79,74,4,307,69,17,13,0.8126,9,8,570,0.55,1,12,12,15,15,0.8696,0.8603
2024-01-01,Agent_002,Agent_002,Support A,8.0,7.89,0.9554,0.7319,0,47,41,6,235,28,54,6,0.781,15,13,494,0.6242,1,18,17,16,17,0.8982,0.6258
2024-01-01,Agent_003,Agent_003,Support A,8.0,7.3,0.8767,0.8179,0,70,64,5,406,38,39,8,0.8984,26,23,455,0.6867,2,11,9,14,16,0.9867,0.7182
2024-01-01,Agent_004,Agent_004,Support A,7.0,6.38,0.9718,0.8429,0,55,53,1,372,59,92,22,0.7784,13,11,500,0.5679,0,9,9,29,29,0.8453,0.9033
2024-01-01,Agent_005,Agent_005,Support A,7.0,6.76,0.9366,0.8208,0,48,45,3,379,28,68,21,0.7976,6,5,378,0.6949,0,15,15,7,7,0.9306,0.656
2024-01-01,Agent_006,Agent_006,Support B,8.0,8.0,0.901,0.8714,0,66,60,5,201,39,50,26,0.6769,28,24,574,0.55,2,16,14,13,15,0.8971,0.7837
2024-01-01,Agent_007,Agent_007,Support B,9.0,8.99,0.9174,0.8756,0,22,19,2,389,10,19,19,0.8653,28,26,378,0.585,6,7,7,8,8,0.873,0.6825
2024-01-01,Agent_008,Agent_008,Support B,6.0,5.59,0.9252,0.8371,0,58,51,7,378,29,11,14,0.8621,24,23,394,0.5857,1,21,18,24,27,0.9472,0.7635
2024-01-01,Agent_009,Agent_009,Support B,8.0,7.64,0.8629,0.9518,0,52,48,2,373,47,32,48,0.6099,18,15,564,0.55,1,22,22,7,7,0.8617,0.7074
2024-01-01,Agent_010,Agent_010,Support B,8.0,7.25,0.9467,0.8275,0,33,29,3,407,31,0,19,0.7561,28,26,331,0.6838,2,7,7,5,5,0.99,0.8232
2024-01-01,Agent_011,Agent_011,Billing,8.0,7.99,0.9177,0.8148,0,78,74,2,231,22,52,38,0.6598,18,16,432,0.6164,0,5,4,27,28,0.8063,0.7965
2024-01-01,Agent_012,Agent_012,Billing,7.0,6.56,0.9057,0.8348,0,35,32,1,373,28,50,12,0.8124,21,19,304,0.7815,2,9,8,25,26,0.99,0.6705
2024-01-01,Agent_013,Agent_013,Billing,8.0,7.58,0.9579,0.8999,0,76,65,9,335,44,67,17,0.7907,17,15,516,0.5857,2,12,12,19,19,0.8861,0.7398
2024-01-01,Agent_014,Agent_014,Billing,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-01,Agent_015,Agent_015,Billing,8.0,7.51,0.9706,0.718,0,67,61,4,400,36,47,24,0.7799,7,6,404,0.6307,0,12,12,24,24,0.8915,0.7333
2024-01-01,Agent_016,Agent_016,Tech Support,8.0,7.23,0.9494,0.8638,0,29,26,3,286,55,26,8,0.8259,24,20,539,0.55,1,12,10,10,12,0.9687,0.7309
2024-01-01,Agent_017,Agent_017,Tech Support,8.0,7.91,0.8744,0.8393,0,40,35,4,180,65,51,30,0.6496,14,12,300,0.7139,1,12,11,27,28,0.928,0.9097
2024-01-01,Agent_018,Agent_018,Tech Support,8.0,7.87,0.9464,0.8856,0,66,56,10,280,49,47,38,0.6748,11,9,487,0.55,1,24,20,20,24,0.99,0.7472
